ingrediente,preco_anterior,preco_atual,variacao_preco,fornecedor,categoria,data_atualizacao,data_registro
Ingrediente_9f0ff2cf,N/A,R$ 4.50,+100%,Orival Dorival Borromeu Biagiotti,Verduras E Hortaliças,14/03/2025,13/06/2025
Ingrediente_2bb1ee9a,R$ 0.00,R$ 3.75,+100%,Orival Dorival Borromeu Biagiotti,Verduras E Hortaliças,14/03/2025,13/06/2025
Ingrediente_6783bfac,R$ 0.00,R$ 3.50,+100%,Orival Dorival Borromeu Biagiotti,Verduras E Hortaliças,14/03/2025,13/06/2025
Ingrediente_6783bf9f,R$ 0.00,R$ 29.00,+100%,Orival Dorival Borromeu Biagiotti,Temperos E Condimentos,18/03/2025,13/06/2025
Ingrediente_ffa17449,R$ 0.00,R$ 9.75,+100%,Industria De Alimentacao Monjolinho,Cereais E Derivados,02/05/2025,13/06/2025
Ingrediente_9f0fe62a,R$ 0.00,R$ 24.59,+100%,Nova Mega G Atacadista De Alimentos,Carnes E Derivados,16/03/2025,13/06/2025
Ingrediente_de8192fb,R$ 0.00,R$ 18.65,+100%,Nova Mega G Atacadista De Alimentos,Carnes E Derivados,16/03/2025,13/06/2025
Ingrediente_b28d4793,R$ 0.00,R$ 32.19,+100%,Nova Mega G Atacadista De Alimentos,Laticínios,16/03/2025,13/06/2025
Ingrediente_b28d4793,R$ 32.19,R$ 34.90,+8.4%,Sf Comercio De Frios E Laticinios,Laticínios,22/05/2025,13/06/2025
Ingrediente_b28977ee,R$ 0.00,R$ 16.99,+100%,Goncalves E Tortola Sa - (fl 01027),Carnes E Derivados,09/05/2025,13/06/2025
Ingrediente_b28977ee,R$ 16.99,R$ 16.20,-4.6%,Goncalves E Tortola Sa - (fl 01027),Carnes E Derivados,07/04/2025,13/06/2025
Ingrediente_b28977ee,R$ 16.20,R$ 18.00,+11.1%,Goncalves E Tortola Sa - (fl 01027),Carnes E Derivados,13/04/2025,13/06/2025
Ingrediente_b28977ee,R$ 18.00,R$ 17.50,-2.8%,Goncalves E Tortola Sa - (fl 01027),Carnes E Derivados,18/05/2025,13/06/2025
Ingrediente_a47e0fc9,N/A,R$ 7.60,+100%,Goncalves E Tortola Sa - (fl 01027),Carnes E Derivados,18/05/2025,13/06/2025
Ingrediente_b28d5f38,N/A,R$ 11.00,+100%,Goncalves E Tortola Sa - (fl 01027),Carnes E Derivados,25/04/2025,13/06/2025
Ingrediente_de819306,R$ 0.00,R$ 9.85,+100%,Goncalves E Tortola Sa - (fl 01027),Carnes E Derivados,26/05/2025,13/06/2025
Ingrediente_6783bfb2,R$ 0.00,R$ 4.50,+100%,Orival Dorival Borromeu Biagiotti,Verduras E Hortaliças,18/03/2025,13/06/2025
Ingrediente_ffa1742f,R$ 0.00,R$ 3.50,+100%,Orival Dorival Borromeu Biagiotti,Verduras E Hortaliças,18/03/2025,13/06/2025
Ingrediente_b28d47b8,R$ 0.00,R$ 6.43,+100%,Orival Dorival Borromeu Biagiotti,Verduras E Hortaliças,18/03/2025,13/06/2025
Ingrediente_b28d4731,R$ 0.00,R$ 4.80,+100%,Brasilia Alimentos,Cereais E Derivados,27/05/2025,13/06/2025
Ingrediente_ffa17450,R$ 0.00,R$ 5.23,+100%,Brasilia Alimentos,Cereais E Derivados,02/04/2025,13/06/2025
Ingrediente_7b5533c7,R$ 0.00,R$ 6.50,+100%,Brasilia Alimentos,Cereais E Derivados,27/05/2025,13/06/2025
Ingrediente_9f0fe63b,R$ 0.00,R$ 4.40,+100%,Brasilia Alimentos,Cereais E Derivados,16/05/2025,13/06/2025
Ingrediente_ffa1862a,N/A,R$ 1.65,+100%,Brasilia Alimentos,Cereais E Derivados,27/05/2025,13/06/2025
Ingrediente_9142bf2b,R$ 0.00,R$ 12.50,+100%,Abatedouro De Aves California,Carnes E Derivados,03/04/2025,13/06/2025
Ingrediente_b28977ee,R$ 17.50,R$ 17.30,-1.1%,Abatedouro De Aves California,Carnes E Derivados,03/04/2025,13/06/2025
Ingrediente_1ae5a925,R$ 0.00,R$ 29.00,+100%,Frigorifico Vale Do Paraiso,Carnes E Derivados,21/03/2025,13/06/2025
Ingrediente_7b5533ec,R$ 0.00,R$ 34.50,+100%,Frigorifico Vale Do Paraiso,Carnes E Derivados,01/04/2025,13/06/2025
Ingrediente_b28d4738,R$ 0.00,R$ 29.37,+100%,Bispo Dist De Produt Alimenticios,Temperos E Condimentos,25/03/2025,13/06/2025
Ingrediente_b28d473b,R$ 0.00,R$ 25.23,+100%,Bispo Dist De Produt Alimenticios,Carnes E Derivados,04/06/2025,13/06/2025
Ingrediente_7b553f20,N/A,R$ 30.23,+100%,Bispo Dist De Produt Alimenticios,Verduras E Hortaliças,06/06/2025,13/06/2025
Ingrediente_2bb1ee96,R$ 0.00,R$ 6.78,+100%,Bispo Dist De Produt Alimenticios,Temperos E Condimentos,06/06/2025,13/06/2025
Ingrediente_ffa1746a,R$ 0.00,R$ 9.38,+100%,Bispo Dist De Produt Alimenticios,Gorduras E Óleos,30/05/2025,13/06/2025
Ingrediente_b28977ee,R$ 17.30,R$ 16.79,-2.9%,Bispo Dist De Produt Alimenticios,Carnes E Derivados,27/03/2025,13/06/2025
Ingrediente_ffa1746a,R$ 9.38,R$ 15.60,+66.3%,Bispo Dist De Produt Alimenticios,Gorduras E Óleos,27/03/2025,13/06/2025
Ingrediente_9f0fe646,R$ 0.00,R$ 13.55,+100%,Batatas Premium,Verduras E Hortaliças,01/04/2025,13/06/2025
Ingrediente_9142bf0f,R$ 0.00,R$ 14.79,+100%,Bispo Dist De Produt Alimenticios,Laticínios,30/05/2025,13/06/2025
Ingrediente_9142bf0f,R$ 14.79,R$ 15.40,+4.1%,Bispo Dist De Produt Alimenticios,Laticínios,10/04/2025,13/06/2025
Ingrediente_7b5533be,R$ 0.00,R$ 7.35,+100%,Bispo Dist De Produt Alimenticios,Temperos E Condimentos,11/06/2025,13/06/2025
Ingrediente_7b5533bb,R$ 0.00,R$ 6.85,+100%,Bispo Dist De Produt Alimenticios,Cereais E Derivados,16/04/2025,13/06/2025
Ingrediente_7b5533bb,R$ 6.85,R$ 5.52,-19.4%,Bispo Dist De Produt Alimenticios,Cereais E Derivados,04/06/2025,13/06/2025
Ingrediente_2bb1eef9,R$ 0.00,R$ 4.87,+100%,Bispo Dist De Produt Alimenticios,Temperos E Condimentos,30/05/2025,13/06/2025
Ingrediente_b28d4797,R$ 0.00,R$ 7.61,+100%,Bispo Dist De Produt Alimenticios,Gorduras E Óleos,01/04/2025,13/06/2025
Ingrediente_b28d4797,R$ 7.61,R$ 7.77,+2.1%,Bispo Dist De Produt Alimenticios,Gorduras E Óleos,11/06/2025,13/06/2025
Ingrediente_b28d4797,R$ 7.77,R$ 7.77,0.0%,Bispo Dist De Produt Alimenticios,Gorduras E Óleos,06/06/2025,13/06/2025
Ingrediente_a47dfd62,R$ 0.00,R$ 1.69,+100%,Bispo Dist De Produt Alimenticios,Temperos E Condimentos,06/06/2025,13/06/2025
Ingrediente_b28977ee,R$ 16.79,R$ 17.90,+6.6%,Bispo Dist De Produt Alimenticios,Carnes E Derivados,10/04/2025,13/06/2025
Ingrediente_9142bf26,R$ 0.00,R$ 5.38,+100%,Bispo Dist De Produt Alimenticios,Laticínios,11/06/2025,13/06/2025
Ingrediente_9142bf26,R$ 5.38,R$ 4.98,-7.4%,Bispo Dist De Produt Alimenticios,Laticínios,24/04/2025,13/06/2025
Ingrediente_9142bf26,R$ 4.98,R$ 4.99,+0.2%,Bispo Dist De Produt Alimenticios,Laticínios,09/05/2025,13/06/2025
Ingrediente_9142bf26,R$ 4.99,R$ 5.21,+4.4%,Bispo Dist De Produt Alimenticios,Laticínios,30/05/2025,13/06/2025
Ingrediente_725a74dd,R$ 0.00,R$ 12.76,+100%,Bispo Dist De Produt Alimenticios,Verduras E Hortaliças,09/05/2025,13/06/2025
Ingrediente_725a74dd,R$ 12.76,R$ 12.74,-0.2%,Bispo Dist De Produt Alimenticios,Verduras E Hortaliças,06/06/2025,13/06/2025
Ingrediente_2bb1ee80,R$ 0.00,R$ 13.02,+100%,Bispo Dist De Produt Alimenticios,Verduras E Hortaliças,16/04/2025,13/06/2025
Ingrediente_9142bf2b,R$ 12.50,R$ 12.76,+2.1%,Bispo Dist De Produt Alimenticios,Carnes E Derivados,16/04/2025,13/06/2025
Ingrediente_b28977ee,R$ 17.90,R$ 16.79,-6.2%,Bispo Dist De Produt Alimenticios,Carnes E Derivados,16/04/2025,13/06/2025
Ingrediente_1ae5ad4f,N/A,R$ 3.33,+100%,Bispo Dist De Produt Alimenticios,Açúcares E Adoçantes,24/04/2025,13/06/2025
Ingrediente_a47e11bb,N/A,R$ 6.91,+100%,Bispo Dist De Produt Alimenticios,Bebidas,30/05/2025,13/06/2025
Ingrediente_ffa17485,R$ 0.00,R$ 29.58,+100%,Bispo Dist De Produt Alimenticios,Temperos E Condimentos,09/05/2025,13/06/2025
Ingrediente_a47dfd0d,R$ 0.00,R$ 34.99,+100%,Bispo Dist De Produt Alimenticios,Carnes E Derivados,09/05/2025,13/06/2025
Ingrediente_ffa17447,R$ 0.00,R$ 4.11,+100%,Bispo Dist De Produt Alimenticios,Cereais E Derivados,06/06/2025,13/06/2025
Ingrediente_ffa1871e,N/A,R$ 6.10,+100%,Bispo Dist De Produt Alimenticios,Temperos E Condimentos,09/05/2025,13/06/2025
Ingrediente_9f0fe678,R$ 0.00,R$ 20.70,+100%,Bispo Dist De Produt Alimenticios,Carnes E Derivados,30/05/2025,13/06/2025
Ingrediente_b28d629b,N/A,R$ 42.82,+100%,Bispo Dist De Produt Alimenticios,Carnes E Derivados,04/06/2025,13/06/2025
Ingrediente_725a74fc,R$ 0.00,R$ 7.95,+100%,Bispo Dist De Produt Alimenticios,Temperos E Condimentos,04/06/2025,13/06/2025
Ingrediente_9142beea,R$ 0.00,R$ 20.93,+100%,Bispo Dist De Produt Alimenticios,Carnes E Derivados,06/06/2025,13/06/2025
Ingrediente_2bb1ee6c,R$ 0.00,R$ 7.65,+100%,Bispo Dist De Produt Alimenticios,Cereais E Derivados,11/06/2025,13/06/2025
Ingrediente_de8192e6,R$ 0.00,R$ 17.25,+100%,Vz Industria De Alimentos,Verduras E Hortaliças,06/06/2025,13/06/2025
Ingrediente_b28d4754,R$ 0.00,R$ 15.80,+100%,Vz Industria De Alimentos,Verduras E Hortaliças,06/06/2025,13/06/2025
Ingrediente_9142bf09,R$ 0.00,R$ 16.00,+100%,Vz Industria De Alimentos,Verduras E Hortaliças,02/06/2025,13/06/2025
Ingrediente_de8192fb,R$ 18.65,R$ 15.65,-16.1%,Camari Carnes E Conservas,Carnes E Derivados,05/05/2025,13/06/2025
Ingrediente_a47dfd54,R$ 0.00,R$ 27.05,+100%,Camari Carnes E Conservas,Carnes E Derivados,20/05/2025,13/06/2025
Ingrediente_d82a5011,R$ 0.00,R$ 26.25,+100%,Camari Carnes E Conservas,Carnes E Derivados,23/05/2025,13/06/2025
Ingrediente_725a74d0,R$ 0.00,R$ 21.55,+100%,Camari Carnes E Conservas,Carnes E Derivados,28/04/2025,13/06/2025
Ingrediente_a47dfd51,R$ 0.00,R$ 17.30,+100%,Camari Carnes E Conservas,Carnes E Derivados,20/05/2025,13/06/2025
Ingrediente_a47dfd26,R$ 0.00,R$ 20.22,+100%,Camari Carnes E Conservas,Carnes E Derivados,27/05/2025,13/06/2025
Ingrediente_9f0fe62a,R$ 24.59,R$ 28.51,+15.9%,Minerva S A,Carnes E Derivados,15/04/2025,13/06/2025
Ingrediente_9142bf1f,R$ 0.00,R$ 31.35,+100%,Minerva S A,Carnes E Derivados,15/04/2025,13/06/2025
Ingrediente_1ae5a925,R$ 29.00,R$ 34.08,+17.5%,Minerva S A,Carnes E Derivados,15/04/2025,13/06/2025
Ingrediente_ffa17463,R$ 0.00,R$ 6.50,+100%,Marta Elaine Oliveira Massoni,Verduras E Hortaliças,29/05/2025,13/06/2025
Ingrediente_b28977ee,R$ 16.79,R$ 16.99,+1.2%,Biunessa & Gazzotti Distribuidora De Alimentos,Carnes E Derivados,11/04/2025,13/06/2025
Ingrediente_2bb1ee96,R$ 6.78,R$ 5.86,-13.6%,P.s.g Industria E Comercio,Temperos E Condimentos,05/05/2025,13/06/2025
Ingrediente_2bb1ee96,R$ 5.86,R$ 7.93,+35.3%,P.s.g Industria E Comercio,Temperos E Condimentos,14/05/2025,13/06/2025
Ingrediente_2bb1eef9,R$ 4.87,R$ 4.73,-2.9%,P.s.g Industria E Comercio,Temperos E Condimentos,14/05/2025,13/06/2025
Ingrediente_d82a500b,R$ 0.00,R$ 37.84,+100%,P.s.g Industria E Comercio,Temperos E Condimentos,14/05/2025,13/06/2025
Ingrediente_ffa17447,R$ 4.11,R$ 6.06,+47.4%,P.s.g Industria E Comercio,Cereais E Derivados,05/06/2025,13/06/2025
Ingrediente_ffa17437,R$ 0.00,R$ 246.24,+100%,P.s.g Industria E Comercio,Temperos E Condimentos,29/05/2025,13/06/2025
Ingrediente_7b55407d,N/A,R$ 42.90,+100%,P.s.g Industria E Comercio,Temperos E Condimentos,15/04/2025,13/06/2025
Ingrediente_b28d63c0,N/A,R$ 26.02,+100%,P.s.g Industria E Comercio,Temperos E Condimentos,29/05/2025,13/06/2025
Ingrediente_2bb1ee80,R$ 13.02,R$ 16.60,+27.5%,Supermercado Canesin,Verduras E Hortaliças,01/04/2025,13/06/2025
Ingrediente_2bb1ee80,R$ 16.60,R$ 14.60,-12.0%,Supermercado Canesin,Verduras E Hortaliças,01/04/2025,13/06/2025
Ingrediente_2bb1ee80,R$ 14.60,R$ 29.75,+103.8%,Supermercado Canesin,Verduras E Hortaliças,01/04/2025,13/06/2025
Ingrediente_2bb1ee80,R$ 29.75,R$ 26.60,-10.6%,Supermercado Canesin,Verduras E Hortaliças,01/04/2025,13/06/2025
Ingrediente_7b5533be,R$ 7.35,R$ 13.41,+82.4%,Supermercado Canesin,Temperos E Condimentos,01/04/2025,13/06/2025
Ingrediente_de8192fb,R$ 15.65,R$ 19.90,+27.2%,Supermercado Canesin,Carnes E Derivados,01/04/2025,13/06/2025
Ingrediente_de8192fb,R$ 19.90,R$ 16.98,-14.7%,Supermercado Canesin,Carnes E Derivados,02/05/2025,13/06/2025
Ingrediente_de819306,R$ 9.85,R$ 15.90,+61.4%,Supermercado Canesin,Carnes E Derivados,01/04/2025,13/06/2025
Ingrediente_9f0fe62a,R$ 28.51,R$ 29.99,+5.2%,Supermercado Canesin,Carnes E Derivados,01/04/2025,13/06/2025
Ingrediente_b28977ee,R$ 16.99,R$ 28.90,+70.1%,Supermercado Canesin,Carnes E Derivados,01/04/2025,13/06/2025
Ingrediente_b28d479c,R$ 0.00,R$ 17.89,+100%,Supermercado Canesin,Pães E Bolos,02/05/2025,13/06/2025
Ingrediente_ffa1742f,R$ 3.50,R$ 2.99,-14.6%,Supermercado Canesin,Verduras E Hortaliças,02/05/2025,13/06/2025
Ingrediente_9142bf12,R$ 0.00,R$ 2.99,+100%,Supermercado Canesin,Cereais E Derivados,02/05/2025,13/06/2025
Ingrediente_b28d644b,N/A,R$ 13.80,+100%,Supermercado Canesin,Cereais E Derivados,02/05/2025,13/06/2025
Ingrediente_b28d47a6,R$ 0.00,R$ 6.90,+100%,Supermercado Canesin,Verduras E Hortaliças,03/06/2025,13/06/2025
Ingrediente_6783bfca,R$ 0.00,R$ 13.98,+100%,Supermercado Canesin,Temperos E Condimentos,03/06/2025,13/06/2025
Ingrediente_9f0fe65b,R$ 0.00,R$ 299.50,+100%,Supermercado Canesin,Temperos E Condimentos,03/06/2025,13/06/2025
Ingrediente_b28d6495,N/A,R$ 22.70,+100%,Supermercado Canesin,Bebidas,03/06/2025,13/06/2025
Ingrediente_7b5533d4,R$ 0.00,R$ 7.18,+100%,Supermercado Canesin,Cereais E Derivados,03/06/2025,13/06/2025
Ingrediente_ffa17447,R$ 6.06,R$ 23.90,+294.4%,Supermercado Canesin,Cereais E Derivados,03/06/2025,13/06/2025
Ingrediente_9142c798,N/A,R$ 2.10,+100%,Tenda Atacado,Produtos De Limpeza,11/06/2025,13/06/2025
Ingrediente_b28d4731,R$ 4.80,R$ 4.67,-2.7%,Arf Comercio De Cereais,Cereais E Derivados,09/06/2025,13/06/2025
Ingrediente_7b5533c7,R$ 6.50,R$ 6.17,-5.1%,Arf Comercio De Cereais,Cereais E Derivados,09/06/2025,13/06/2025
Ingrediente_b28d4738,R$ 29.37,R$ 32.55,+10.8%,Nova Mega G Atacadista De Alimentos,Temperos E Condimentos,11/06/2025,13/06/2025
